"","GeneID","G3R3","G1R2","G1R3","G1R4","G3R1","G3R2","G1R1","G3R4","external_gene_id","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2862","FBgn0029770",47497.603892955,38.4948029502684,68.7589606543871,58.8671712681456,35861.9631001213,52463.7756758761,72.3229571009404,50831.8690675356,"CG4151","",23361.7069535577,9.62298368937477,0.234454931859094,41.0440659664099,0,0
"8933","FBgn0039592",9247.4078496594,9.10848529849394,9.94635821380463,8.51443986338858,7153.29128265653,9057.21013223861,16.0600061197136,9722.09092311713,"CG14062","",4402.95368464588,9.68344946749899,0.273148722242563,35.4511981165331,2.7799532727535e-275,1.8236493469263e-271
"6339","FBgn0035478",25649.5783223954,28.0686570751979,56.6193732451922,30.339758989329,16783.4925498147,16691.0431890489,54.8412465177604,17754.6742643341,"CG10853","",9631.08217017757,8.83581348072929,0.294905034229985,29.9615552640535,3.11132630244064e-197,1.36068670293404e-193
"10846","FBgn0053998",6780.75574568786,10.7322684801663,11.1016291848816,17.0659596752332,6482.93777098913,11642.0119101187,18.2807219745038,9974.48635248369,"CG33998","",4367.17154482427,9.26188500003714,0.331433734914219,27.9449073053299,7.60199751971629e-172,2.49345518646694e-168
"790","FBgn0004589",8365.26248230992,17.511334185395,18.0914471394929,22.1534181351705,5914.62237265538,15253.771797808,24.2054895808558,15615.3259039208,"Eig71Eb","Ecdysone-induced gene 71Eb [Source:FlyBase gene name;Acc:FBgn0004589]",5653.86803071688,9.10980670632138,0.390651030195825,23.3195512162219,2.80825332844276e-120,7.3688567338338e-117
"11097","FBgn0085309",3037.99867412171,4.92785888771334,16.7845991279734,6.66400894379036,2637.54329281998,4589.04004290902,9.07468645064639,4009.70101347375,"CG34280","",1788.96677209182,8.61388073601058,0.381306861881769,22.5904162686731,5.38380181610702e-113,1.17725799712207e-109
"12528","FBgn0264899",2889.90924842783,13.9629157578094,33.566880342082,15.2314140636512,2412.67053944807,4246.67201271813,15.8817390429738,3742.42712300718,"CG44090","",1671.29023410097,7.41769438465012,0.33984420184062,21.8267498591277,1.29293430074009e-105,2.42332828938713e-102
"789","FBgn0004588",8752.67621947345,21.3847798617686,23.4466913669126,13.3112350513772,7144.22126683428,17716.4075684633,30.6910202745271,18706.4224427457,"Eig71Ea","Ecdysone-induced gene 71Ea [Source:FlyBase gene name;Acc:FBgn0004588]",6551.07015300891,9.2090321457145,0.424483930182429,21.6946543577204,2.30450306991121e-104,3.77938503465439e-101
"792","FBgn0004591",8103.14988174663,25.4999390969354,35.7225376155715,24.7187328463334,7110.96037756856,19730.1993332887,39.7904443910986,23552.3253429836,"Eig71Ed","Ecdysone-induced gene 71Ed [Source:FlyBase gene name;Acc:FBgn0004591]",7327.79582369218,8.86693873592161,0.459477767759249,19.2978623953087,5.59774075593504e-83,8.16026207976308e-80
"791","FBgn0004590",12430.6801900891,23.128382111036,28.8400445864362,18.9546804133607,9049.41931986872,25119.7101377343,49.1656590557052,31562.3233596096,"Eig71Ec","Ecdysone-induced gene 71Ec [Source:FlyBase gene name;Acc:FBgn0004590]",9785.27772168354,9.35342948573943,0.487390935938245,19.1908154133678,4.4165518886447e-82,5.79451607790185e-79
