nc	gname	tt	pval	fdr	log.fc
1	FBgn0029770	710.036205467457	0	0	6.59474172478707
2	FBgn0035478	621.702233102597	0	0	6.12234069456791
3	FBgn0004590	618.993499236418	0	0	6.48955940929901
4	FBgn0004594	594.178153095243	0	0	6.41283584629801
5	FBgn0004588	588.074387574518	0	0	6.38297717708728
6	FBgn0250833	585.440198559248	0	0	-4.29266759039186
7	FBgn0004591	581.338885026323	0	0	6.14823429394802
8	FBgn0004589	573.476897778212	0	0	6.30563715704502
9	FBgn0039592	572.837602665249	0	0	6.70067735257079
10	FBgn0004593	568.500104981992	0	0	6.28956871934318
11	FBgn0036881	561.44276757194	0	0	-4.99660531207914
12	FBgn0053998	561.223010874714	0	0	6.41434937879431
13	FBgn0000639	545.916940719856	0	0	4.09985119244612
14	FBgn0031940	512.585686380402	0	0	-4.71591132118929
15	FBgn0052762	495.636282547691	0	0	6.80013533679671
16	FBgn0031747	484.027353400183	0	0	4.70339334866905
17	FBgn0035510	479.231562621219	0	0	-5.72927662760816
18	FBgn0020641	465.332633458361	4.999999999995e-06	0.00178571428507653	4.7570761125861
19	FBgn0038819	454.588803480642	4.999999999995e-06	0.00178571428507653	-4.11887613340811
20	FBgn0085309	453.958304852227	4.999999999995e-06	0.00178571428507653	5.94493472918349
21	FBgn0052631	445.450862710446	4.999999999995e-06	0.00178571428507653	5.9976948418119
22	FBgn0036023	445.378223308321	4.999999999995e-06	0.00178571428507653	5.38107299744244
23	FBgn0051876	442.318803520645	4.999999999995e-06	0.00178571428507653	-6.791218367757
24	FBgn0031619	440.135188003892	4.999999999995e-06	0.00178571428507653	4.37387454395327
25	FBgn0014848	433.891960369063	4.999999999995e-06	0.00178571428507653	6.9981988795051
26	FBgn0036416	432.827550148032	4.999999999995e-06	0.00178571428507653	5.96932135199152
27	FBgn0036417	432.719719164409	4.999999999995e-06	0.00178571428507653	6.33452862040273
28	FBgn0039848	431.578432850412	4.999999999995e-06	0.00178571428507653	4.5765100267237
29	FBgn0032125	424.615939270462	9.99999999999e-06	0.00196078431334102	-5.96630211799128
30	FBgn0036591	424.559798174478	9.99999999999e-06	0.00196078431334102	-4.26869626606855
31	FBgn0264899	420.325519381105	9.99999999999e-06	0.00196078431334102	5.12726609210771
32	FBgn0085273	420.123567410905	9.99999999999e-06	0.00196078431334102	6.48055418127274
33	FBgn0030495	417.2822280746	9.99999999999e-06	0.00196078431334102	5.36285178511021
34	FBgn0035281	415.210855502668	9.99999999999e-06	0.00196078431334102	-3.56835641829932
35	FBgn0005664	409.884259128511	9.99999999999e-06	0.00196078431334102	-3.73564327668031
36	FBgn0014851	407.421612501334	9.99999999999e-06	0.00196078431334102	3.78407792778325
37	FBgn0014849	403.312670953355	9.99999999999e-06	0.00196078431334102	6.95980266124953
38	FBgn0085234	393.938302519075	9.99999999999e-06	0.00196078431334102	-5.21253780659617
39	FBgn0036597	392.831683199524	9.99999999999e-06	0.00196078431334102	-4.71187759856802
40	FBgn0035737	389.893101760395	9.99999999999e-06	0.00196078431334102	4.21188854397138
41	FBgn0261634	378.726911344428	9.99999999999e-06	0.00196078431334102	5.82317747817238
42	FBgn0259223	373.601575529034	9.99999999999e-06	0.00196078431334102	-2.87944886081574
43	FBgn0030271	365.339416965727	9.99999999999e-06	0.00196078431334102	3.64474849273502
44	FBgn0028544	365.178891275323	9.99999999999e-06	0.00196078431334102	-2.91940579032856
45	FBgn0032538	360.635117177621	9.99999999999e-06	0.00196078431334102	-2.90251227814086
46	FBgn0020765	360.242853668202	9.99999999999e-06	0.00196078431334102	-5.54867326321343
47	FBgn0036602	359.839744684234	9.99999999999e-06	0.00196078431334102	-3.39900770986729
48	FBgn0261630	356.810087798329	9.99999999999e-06	0.00196078431334102	6.58647191568294
49	FBgn0030542	350.729256568296	9.99999999999e-06	0.00196078431334102	5.03944259349179
50	FBgn0000551	346.392197307947	9.99999999999e-06	0.00196078431334102	3.37354436409517
51	FBgn0043577	337.081835069364	9.99999999999e-06	0.00196078431334102	6.29158726404693
52	FBgn0030493	328.748462372873	1.34999999999865e-05	0.00197530864173144	4.44448816709574
53	FBgn0033580	315.324254326797	1.34999999999865e-05	0.00197530864173144	-4.89052121894358
54	FBgn0033728	313.631137549451	1.34999999999865e-05	0.00197530864173144	-4.03023473618903
55	FBgn0027527	313.343414487891	1.34999999999865e-05	0.00197530864173144	2.68820241569495
56	FBgn0033597	312.536065453377	1.34999999999865e-05	0.00197530864173144	-3.87318345214011
57	FBgn0260645	308.131640149248	1.34999999999865e-05	0.00197530864173144	3.922150040773
58	FBgn0039469	307.123842238261	1.34999999999865e-05	0.00197530864173144	5.08817299323451
59	FBgn0040842	303.273908522261	1.34999999999865e-05	0.00197530864173144	3.27068765254952
60	FBgn0036590	301.356417037932	1.34999999999865e-05	0.00197530864173144	-3.4309157931531
61	FBgn0036619	297.952707528896	1.34999999999865e-05	0.00197530864173144	-3.44070071459227
62	FBgn0002564	295.063251542688	1.34999999999865e-05	0.00197530864173144	2.52013309602392
63	FBgn0266456	292.08379643767	1.34999999999865e-05	0.00197530864173144	4.55610335017463
64	FBgn0050045	291.896706356107	1.34999999999865e-05	0.00197530864173144	-4.62458516934161
65	FBgn0028938	290.548995991722	1.34999999999865e-05	0.00197530864173144	-2.33176309318321
66	FBgn0038714	290.11188785497	1.34999999999865e-05	0.00197530864173144	-3.49270393184504
67	FBgn0040279	289.798330855852	1.34999999999865e-05	0.00197530864173144	2.72916977807007
68	FBgn0035513	278.644015343618	1.34999999999865e-05	0.00197530864173144	2.75663255748363
69	FBgn0000552	275.275644391834	1.5999999999984e-05	0.00197530864173144	4.33448475105804
70	FBgn0261932	274.910449212144	1.5999999999984e-05	0.00197530864173144	3.22240143302875
71	FBgn0014850	268.142415973503	1.5999999999984e-05	0.00197530864173144	2.63886196981249
72	FBgn0014454	266.486932669467	1.5999999999984e-05	0.00197530864173144	-4.73381055747929
73	FBgn0036879	266.485930373819	1.5999999999984e-05	0.00197530864173144	-6.68655746037401
74	FBgn0260226	254.424331492743	1.5999999999984e-05	0.00197530864173144	5.06706199097858
75	FBgn0036351	253.052931342258	1.5999999999984e-05	0.00197530864173144	2.34669924328933
76	FBgn0262005	252.966319986688	1.5999999999984e-05	0.00197530864173144	5.13230907942757
77	FBgn0035544	250.08557916322	1.5999999999984e-05	0.00197530864173144	-3.46889985000297
78	FBgn0034157	250.048691934253	1.5999999999984e-05	0.00197530864173144	-2.73083144972007
79	FBgn0262874	250.000518464108	1.5999999999984e-05	0.00197530864173144	5.74230222309484
80	FBgn0262880	249.991035194093	1.5999999999984e-05	0.00197530864173144	2.88941466340819
81	FBgn0020908	244.462228903587	1.5999999999984e-05	0.00197530864173144	-2.34515504859986
82	FBgn0035511	243.3050427319	1.74999999999825e-05	0.00210843373468573	5.25370541820069
83	FBgn0050375	241.592291098747	1.74999999999825e-05	0.00210843373468573	3.3062785910894
84	FBgn0036592	239.610273251971	1.94999999999805e-05	0.00229411764678893	4.4622241621893
85	FBgn0031542	237.915579691238	1.94999999999805e-05	0.00229411764678893	-2.96754251138306
86	FBgn0035667	233.658111782179	2.3999999999976e-05	0.00244897959158684	5.97366642852157
87	FBgn0033603	232.334029150583	2.3999999999976e-05	0.00244897959158684	-3.45174790627551
88	FBgn0036878	232.154725042889	2.3999999999976e-05	0.00244897959158684	-6.10586085706776
89	FBgn0033658	229.604418162989	2.3999999999976e-05	0.00244897959158684	2.70358905128295
90	FBgn0085356	228.891774609622	2.3999999999976e-05	0.00244897959158684	-3.94569004651498
91	FBgn0038181	225.232239511478	2.3999999999976e-05	0.00244897959158684	-2.54271502892819
92	FBgn0052679	224.797193268638	2.3999999999976e-05	0.00244897959158684	5.63780151772038
93	FBgn0005633	222.572221519531	2.3999999999976e-05	0.00244897959158684	-2.54239059015748
94	FBgn0034990	220.951797486672	2.3999999999976e-05	0.00244897959158684	3.79012698038908
95	FBgn0033203	219.611066530183	2.3999999999976e-05	0.00244897959158684	4.36671318490162
96	FBgn0005626	218.220726302426	2.3999999999976e-05	0.00244897959158684	2.55518711439911
97	FBgn0032773	215.967920835584	2.3999999999976e-05	0.00244897959158684	2.07674549881684
98	FBgn0030826	215.76131368576	2.3999999999976e-05	0.00244897959158684	-3.89102851296305
99	FBgn0039648	212.550120244722	2.6999999999973e-05	0.00269999999973	-3.06133572941735
100	FBgn0036593	212.399903201878	2.6999999999973e-05	0.00269999999973	5.24513242648769
101	FBgn0031031	208.034887070718	3.04999999999695e-05	0.0029611650482562	-2.41125289779037
102	FBgn0034301	207.520569655407	3.04999999999695e-05	0.0029611650482562	3.66230590711555
103	FBgn0259713	207.063128669234	3.04999999999695e-05	0.0029611650482562	-2.01905099729893
104	FBgn0052274	203.077591437958	3.7999999999962e-05	0.00358490566003916	4.58530543675999
105	FBgn0043792	202.672741123924	3.7999999999962e-05	0.00358490566003916	-2.13366883229478
106	FBgn0085235	201.0327595828	3.7999999999962e-05	0.00358490566003916	3.32227776126513
107	FBgn0036112	199.472713241758	4.2999999999957e-05	0.00401869158840947	4.76347230932045
