	Gene	BaseMean	Log2FoldChange	lfcMLE	lfcSE	stat	p-value	padj	GO_molecular_function	GO_biological_process	category
0	CG4151	173781.895333279	9.54677969465713	9.94019196262363	0.229634710095868	41.5737659636539	0.0	0.0			uncharacterized
1	CG14062	20404.4413711985	9.45246025358342	9.69203086968789	0.181588720966825	52.0542256328261	0.0	0.0	hydrolase activity;nucleic acid binding;metal ion binding		binding
2	CG33998	68576.641745327	9.24695160764484	9.93191288589546	0.296434163959433	31.1939470273415	1.28713491989333e-213	5.52180880634237e-210			uncharacterized
3	CG11406	1126.10092190373	6.29631778044372	6.55507589698593	0.226655663089954	27.7792211083862	7.73326975940722e-170	2.48817954508927e-166	triglyceride lipase activity	lipid catabolic process	metabolic
4	CG10853	114516.930695796	8.24181119443415	8.93934818847806	0.31447005873358	26.2085720581005	2.12207824833673e-151	5.46222941121875e-148	DNA binding	regulation of transcription, DNA-templated	binding
5	Eig71Eb	135456.571197624	8.61122906876696	9.43368871340004	0.329744447900312	26.1148568947863	2.47225805956468e-150	5.30299353776623e-147		defense response to bacterium	defense
6	CG43229	10860.4808657144	7.8611371212415	8.5996753227072	0.326564438332835	24.0722387329554	4.88409575203472e-128	8.97975890409812e-125			uncharacterized
7	CG5665	725.039324206323	4.83416192699249	5.0083279657164	0.215566249634483	22.4254118406261	2.22427808053226e-111	3.57830736205627e-108	carboxylic ester hydrolase activity;lipase activity	digestion;lipid metabolic process	metabolic
8	Eig71Ec	117707.402700415	8.37027810842175	9.79396869768048	0.405245488077548	20.6548335630575	8.83249862964302e-95	1.26304730403895e-91		metamorphosis;defense response to bacterium	defense
9	CG44090	42799.9032323484	6.75896517734085	7.41005197726725	0.332374886050103	20.335366662817	6.25701480980204e-92	8.05277806021522e-89			uncharacterized
10	Eig71Ef	132219.524508563	8.08669048123618	9.6151466510772	0.419290686442234	19.2865969665422	6.96069383769513e-83	8.1440117901033e-80		defense response to bacterium;autophagic cell death;salivary gland cell autophagic cell death	defense
11	Eig71Ea	171243.257054911	8.05352247551206	9.63875865097813	0.424433981431356	18.9747353601435	2.75897236445486e-80	2.95899786087784e-77		metamorphosis;defense response to bacterium	defense
12	Eig71Ed	181579.278081446	7.77375944448244	9.26400235379196	0.422086473111185	18.4174569423709	9.51709799759091e-76	9.421927017615e-73		defense response to bacterium;salivary gland cell autophagic cell death;autophagic cell death	defense
13	CG42537	29174.326045589	5.24967176487386	5.6498689935666	0.302563476772256	17.3506459566016	1.95038729535104e-67	1.79296317794057e-64	serine-type endopeptidase inhibitor activity		proteolysis
14	CG34280	47939.0947593699	7.31645289774333	8.72688261007063	0.423941408986292	17.2581699797575	9.71410514028875e-67	8.33470221036775e-64			uncharacterized
15	CG42500	14041.8662435292	6.80248436055334	7.85967738071617	0.396525365753274	17.1552312867318	5.74409227752534e-66	4.62040422573444e-63			uncharacterized
16	CG13042	54354.4625903555	-4.52955222492832	-4.86567133363606	0.299356792548652	-15.1309485459301	1.01225758593662e-51	7.66338537117904e-49			uncharacterized
17	Cyp304a1	3090.97092062864	2.54424802355207	2.60095429596225	0.172701549596895	14.7320509253717	4.01338423337888e-49	2.8695697268659e-46	electron carrier activity;heme binding;oxidoreductase activity, 	insecticide metabolic process;oxidation-reduction process	redox
18	yellow-d2	6690.33817009381	-2.22853722336768	-2.26704521746233	0.152829242287813	-14.5818770675498	3.66304700856902e-48	2.48123236843596e-45	isomerase activity	cuticle pigmentation;melanin biosynthetic process	cuticle
19	Eig71Eg	186921.994469645	7.12994916507497	9.68743438899939	0.492360647309454	14.4811515786998	1.59403973315815e-47	1.02576456828727e-44		defense response to bacterium	defense
20	lox	10091.3630675607	5.69797711580681	6.6786161400523	0.412733354556963	13.8054679925812	2.36233354485083e-43	1.44777298677287e-40	protein-lysine 6-oxidase activity;scavenger receptor activity;copper ion binding	oxidation-reduction process;cell adhesion;cellular protein modification process	redox
21	Eig71Eh	40101.2226176994	6.84394307679407	9.99783252073952	0.513090519017728	13.3386660308911	1.3790515128687e-40	8.06745135028192e-38		metamorphosis;defense response to bacterium	defense
22	CG42259	11599.3106445233	3.69379367029327	3.9520593561621	0.291949914515209	12.6521484906989	1.08856674891664e-36	6.09124089502482e-34			uncharacterized
23	CG15414	4686.0830194563	-3.9304246631796	-4.28099405634498	0.32355145448025	-12.1477576711667	5.89605566638868e-34	3.16175985110093e-31			uncharacterized
