GeneID,G1R2,G1R3,G1R4,G3R1,G3R2,G1R1,G3R4,logFC,logCPM,PValue,FDR
FBgn0000044,661.1884178,655.0219996,3219.673483,346.8472483,317.7616755,653.5095746,304.9008383,-1.882334417,9.687741597,0.00013845,0.003942561
FBgn0000045,852.5806241,697.8555624,1903.054281,129.4922188,202.8895271,492.2238409,213.0978727,-2.476030778,9.184743979,3.14E-09,2.63E-07
FBgn0000046,756.5422114,703.5200255,2278.771875,361.3007159,200.0011845,513.4883362,324.6617738,-1.914142307,9.393728026,1.71E-05,0.000638882
FBgn0000047,1610.95913,1266.600833,2739.489728,808.621103,499.8575824,539.2895565,539.3906669,-1.537798884,10.01494606,0.000699434,0.015494814
FBgn0000053,40.46082067,53.10025463,47.2382467,51.95147117,93.82642583,44.52276229,154.7196488,1.152844275,6.223948539,0.000625426,0.014039739
FBgn0000075,10.94026454,11.69064775,4.205786043,27.46617521,67.18843441,19.11683169,72.1810204,1.982021654,4.833249922,9.43E-05,0.002863026
FBgn0000121,12.4416019,12.2598872,25.87866631,3.817696248,2.423284886,9.770792276,4.148104608,-2.246257623,3.203706207,1.16E-07,7.58E-06
FBgn0000206,19.10705777,17.88007293,35.76102082,4.918954781,4.222390332,12.85688339,6.187926031,-2.00804933,3.748643269,1.14E-07,7.43E-06
FBgn0000210,54.31365197,77.39837661,35.24440113,239.7133911,554.2556001,76.42321031,549.4862806,2.706140506,7.839280296,1.76E-11,2.18E-09
FBgn0000451,176.1795354,299.1700215,545.4331565,803.2070958,2089.056916,643.6775282,1810.868413,1.69402118,9.783520403,0.000232915,0.00612916
FBgn0000551,6.138742631,13.99457213,32.16017839,367.7757857,280.7075567,6.879060053,50.25587443,4.977996591,7.910965355,2.31E-10,2.33E-08
FBgn0000552,0.066178734,3.37062851,0.033378777,41.63161049,19.20299063,0.244853374,3.57097701,6.307111419,5.221516145,2.86E-06,0.000132359
FBgn0000592,31.73733524,17.7608907,8.895210545,2.679729097,7.631911778,19.34610994,8.925610146,-1.613545888,3.696877051,0.000269118,0.006935632
FBgn0000639,166.9772137,162.5767796,184.9951984,6764.796783,17777.86781,374.0959629,24990.29084,5.887391349,12.70705129,9.70E-21,3.63E-18
FBgn0000640,93.5689863,132.2885684,129.6117623,207.3599704,1254.585254,278.7554458,2657.850415,2.952131738,9.436463473,5.09E-07,2.85E-05
FBgn0001078,31.28861034,45.9358396,109.9014607,330.985785,231.4054953,38.19941166,163.4838003,2.039451342,7.170400222,7.49E-07,3.95E-05
FBgn0001142,373.0042878,451.7849108,327.7627719,634.0830786,897.2081213,452.7956326,954.4277945,0.956366009,9.204859228,0.001965251,0.03590791
FBgn0001253,176.0617518,171.4704871,151.7769528,409.1177836,604.0120925,215.2470835,612.3839366,1.312393741,8.281804839,0.000890433,0.018766752
FBgn0001256,67.04611503,149.6609478,24.66143242,434.4189965,991.3914015,255.4992724,1608.630242,2.707250915,8.869718001,3.43E-05,0.001186555
FBgn0001258,34.42802688,27.82611443,34.66218412,47.64583626,250.3061774,33.56789991,77.20210624,1.934815791,6.2992859,5.53E-06,0.000235297
FBgn0001263,8.940531819,7.079799433,30.12148945,2.349351537,3.855288373,6.366261183,4.292458648,-1.983509049,3.054503556,0.000114286,0.003350778
FBgn0002535,2.614059974,4.634145941,2.202999981,5.396160571,10.08254307,3.468756133,11.44600572,2.340732283,3.301762064,1.68E-05,0.000632772
FBgn0002564,124.6109154,171.5815469,155.3258045,994.1758241,2584.793152,130.9190183,2322.938581,3.636398726,9.934074323,8.93E-21,3.44E-18
FBgn0002629,1.621378972,1.980051195,0.700954327,7.268306317,8.313482683,3.47002529,8.54870254,1.923152883,2.2394803,8.58E-05,0.002643315
FBgn0002772,520.733354,476.0655624,1496.653646,203.7226236,181.8200931,304.9766304,159.5513971,-2.035539575,8.765569947,3.87E-06,0.000174427
FBgn0002773,2061.27894,1781.953392,4888.8894,542.0394499,578.3499829,1134.091454,532.8114122,-2.260568933,10.541805,8.78E-08,5.85E-06
FBgn0002936,1.533460524,1.14193344,11.74605855,0.908332721,0.189732192,1.188191807,0.742139199,-2.750814226,1.220060097,0.000578976,0.013184298
FBgn0002937,3.055482054,2.786024714,9.786857828,1.104129147,0.923032885,1.634400353,1.046747145,-1.78282537,1.520413671,0.001989932,0.036206719
FBgn0002938,80.73423309,77.84363578,268.7742275,19.19450307,24.25798126,50.42347151,31.07609558,-2.351363233,6.160065672,3.56E-07,2.05E-05
FBgn0002939,38.17917319,34.71776266,48.21470278,8.486757113,27.14243195,34.55379398,4.620977712,-1.849139448,4.640083738,0.000491731,0.011499708
FBgn0002940,0.264714934,0.210643744,65.72314663,0.146834471,0.330447939,0.204044478,0.360704749,-6.020913576,3.092098223,6.22E-05,0.002009938
FBgn0003046,4.840444928,9.198391019,18.52168335,3.891113483,21.12160808,7.345601224,18.75661085,2.310272226,4.897414769,0.002456549,0.042637577
FBgn0003065,2272.167401,1773.220102,1152.609241,925.2627359,660.1138179,1218.892339,765.5164737,-1.117242927,10.19468069,0.000807899,0.017322138
FBgn0003149,346.2454009,282.9190538,1079.353509,196.680736,169.2148598,223.1473021,215.9181081,-1.493853989,8.354362063,0.001169904,0.023581729
FBgn0003313,0.16374207,0.144582074,0.184532902,0.193654478,0.75992011,0.033001419,0.979800344,2.065465359,-1.223836382,0.002811931,0.047382582
FBgn0003319,53.47129165,40.42413539,25.47057738,134.9528459,128.5783578,43.08105338,114.6507257,1.387412607,6.199774669,0.000143449,0.004068205
FBgn0003356,0.26508719,0.695078014,0.611555947,1.045332954,0.446258927,0.548916375,0.654239059,5.042532608,3.188429841,6.35E-05,0.002041873
FBgn0003357,0.859952604,0.94794319,1.024003815,0.459720375,0.560039495,0.623925166,0.876472861,4.638883601,3.498953239,0.000246559,0.006439318
FBgn0003373,0.198536201,0.042128749,0.066757555,4.772120309,3.751465302,0.28566227,5.85355273,5.372790035,1.72393319,8.28E-17,2.13E-14
FBgn0003429,139.7276305,155.4406343,188.6063115,105.1165696,104.4884791,158.3371318,66.88083685,-0.913875726,6.941789937,0.002901907,0.048603445
FBgn0003861,90.98401188,86.8934724,316.0795322,2.643021308,16.67036419,61.87812044,30.58774464,-3.00561587,6.289385228,1.24E-06,6.20E-05
FBgn0004028,408.834729,424.0004027,1190.477637,133.2080369,143.3494964,311.8432332,178.1774273,-2.060888911,8.499584433,8.86E-07,4.58E-05
FBgn0004117,397.0242562,353.8183602,1090.577787,104.0399242,105.8572294,224.0136949,113.9641459,-2.369128339,8.267896335,8.39E-08,5.65E-06
FBgn0004169,700.5150342,684.5136489,1997.925996,199.7700169,225.1092541,507.0536916,250.0245698,-2.222920587,9.20577392,1.63E-07,1.02E-05
FBgn0004228,4.798100465,3.201784911,6.742656578,12.16379695,10.46417739,2.652576179,14.72515816,1.334986111,2.954301802,0.001505926,0.029249556
FBgn0004425,2.246655169,2.738162243,0.493758904,3.885687949,10.11750042,2.56821399,4.680728454,1.842174655,2.226545667,0.000749643,0.016371725
FBgn0004427,16.18169303,21.13944784,5.183924414,29.62939754,70.6060768,16.85321693,26.43532961,1.764168616,5.030701888,9.98E-05,0.00300297
FBgn0004516,18.8694331,16.92013569,50.41286885,9.213958501,7.380018658,15.18090593,8.154895917,-1.564341986,4.09093382,9.25E-05,0.002813887
FBgn0004577,162.4704073,180.3127891,232.6109257,13.43551195,21.03854816,160.0184584,22.33893563,-3.087444489,6.683959582,1.35E-19,4.68E-17
FBgn0004588,0.862494198,0.884703725,0.467302885,279.0262416,603.2473992,1.101840184,704.7196883,9.188321036,7.921194686,1.76E-68,3.48E-65
FBgn0004589,0.695042149,0.716190415,0.783730357,230.3296538,521.9381137,0.856986809,590.066077,9.089211124,7.709642428,6.74E-75,1.56E-71
FBgn0004590,0.926502269,1.09540645,0.667575549,354.1515291,858.0007304,1.758006417,1173.56372,9.342489751,8.49655799,4.86E-59,6.74E-56
FBgn0004591,1.02577037,1.348170517,0.869967767,277.7546551,671.8594063,1.428311349,886.9549414,8.851761014,8.079687771,4.47E-59,6.74E-56
FBgn0004593,0.529429868,1.137762694,0.872851693,218.4015923,559.0077635,0.652942331,683.0269048,9.068364659,7.749163111,9.04E-58,1.04E-54
FBgn0004594,0.331201399,1.095347469,0.801090659,281.2941,660.9693109,1.224266871,799.9240997,9.25115761,8.03704316,3.19E-57,3.40E-54
FBgn0004623,5.956416911,7.385001154,57.80636819,4.478451367,3.414628703,6.207645167,3.647771051,-2.449716835,3.527080127,0.000165509,0.00457261
FBgn0004779,0.066178734,0.210643744,0.033378777,7.5736486,4.075524581,0.122426687,0.036070475,7.297018607,3.143455697,8.22E-08,5.59E-06
FBgn0004783,0.504060251,2.040333222,0.653926967,4.552162272,3.944446899,0.302688557,0.966742832,2.84686605,1.868693836,0.000217908,0.005833874
FBgn0004784,20.1519207,17.90471825,56.01426163,10.09571418,7.820674656,14.60958466,7.758362366,-1.677431942,4.163149024,5.74E-05,0.001876909
FBgn0005626,6.551706201,10.49005003,59.56514271,43.80597939,354.5229586,11.71951784,741.1094446,3.713695149,7.28565048,4.67E-05,0.001557979
FBgn0005633,174.8173884,142.0337611,552.7802593,21.70291305,19.34731193,72.00204025,22.03960696,-3.602868127,6.994114424,7.84E-12,1.03E-09
FBgn0005638,99.22561355,67.34836599,30.2545239,143.239743,190.3185532,67.12459369,226.0798447,1.241013025,6.79517776,0.002897509,0.048588452
FBgn0005664,421.7987614,238.0422602,1437.245097,1.578470564,2.900598576,197.2877496,44.24399396,-5.357157724,8.199099901,1.61E-08,1.22E-06
FBgn0005666,632.2722819,579.4278579,1474.368973,270.6164441,261.5868109,388.2370615,227.9757389,-1.718537308,8.969066986,1.74E-05,0.000646407
FBgn0010052,42.88084129,81.50463669,48.63067578,444.9356117,406.4201232,57.84412029,207.3316466,2.736923136,7.789816181,6.87E-14,1.12E-11
FBgn0010100,718.7421762,568.9412961,895.7024703,345.1908454,383.1673095,432.3492332,318.5750471,-0.969738433,8.948354686,0.002415153,0.042129983
FBgn0010223,9.473651152,8.004462277,5.073574176,20.15314128,20.48788237,11.31271559,19.64765979,1.157078437,3.780698857,0.000653258,0.014564932
FBgn0010246,35.9390495,36.73276823,34.86756441,60.12996766,120.9218791,39.16988801,91.11935791,1.197408637,5.918125021,0.000110711,0.003273649
FBgn0010381,7.38303187,14.09598446,10.13182749,13.48454365,74.87326119,8.1905086,35.09740165,2.452469242,5.012534797,5.43E-07,2.98E-05
FBgn0010423,5.525920941,7.077632331,38.33150712,1.284801622,2.239702698,6.009913417,2.308510391,-3.005226829,3.016296279,1.45E-06,7.11E-05
