Name,SRR3390478.quant,SRR3390479.quant,SRR3390480.quant,SRR3390481.quant,SRR3390482.quant,SRR3390483.quant,SRR3390484.quant,SRR3390485.quant
FBtr0070000,23.2833,13.3537,24.3929,8.9296,0.0,8.82866,0.0,29.5346
FBtr0307554,251.559,183.688,153.937,113.671,240.374,172.948,156.177,173.117
FBtr0307555,904.795,892.283,647.628,772.495,1000.35,776.347,726.823,663.441
FBtr0070002,1181.46,2030.02,1137.6,2476.37,1419.14,229.032,757.773,1312.79
FBtr0070003,14.0,13.0,27.0,27.0,24.0001,29.0,26.0,19.0
FBtr0301569,251.052,5002.69,5234.71,99.06,163.555,138.072,1987.44,7222.92
FBtr0343166,279.893,5853.38,9670.22,238.114,504.337,322.162,3841.64,10372.2
FBtr0070029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0301572,63.0,90.0,66.0,84.324,52.027,24.0,33.0,98.0
FBtr0070032,6.0,6.0,1.0,2.0,5.0,6.0,1.0,1.0
FBtr0070035,302.0,487.77,269.094,483.268,290.283,75.0,175.0,285.12
FBtr0070036,59.0,58.0,31.0,99.0,65.0,92.0752,29.0,195.039
FBtr0070045,747.303,913.986,738.467,761.253,878.075,922.419,784.007,888.602
FBtr0070046,905.442,855.923,665.376,719.0,944.655,878.025,664.839,862.369
FBtr0299869,24111.9,26833.0,22114.9,24762.9,27129.8,30500.5,23671.3,25440.6
FBtr0299870,5583.64,5531.62,5243.51,5230.44,4869.13,6119.18,4796.62,5051.26
FBtr0333910,248.761,257.246,232.705,295.981,235.514,337.955,255.079,260.795
FBtr0070063,1020.93,1240.47,996.781,1015.78,1165.33,1168.92,1178.63,1035.67
FBtr0332992,1045.84,1170.93,945.769,1040.52,1177.8,878.574,864.46,1011.22
FBtr0070064,647.264,629.746,727.782,613.337,768.778,763.25,727.262,769.245
FBtr0070065,451.992,464.301,281.389,391.341,455.932,463.38,316.465,248.326
FBtr0070066,2958.17,1170.65,1058.71,966.223,4285.04,4827.35,1106.95,2903.95
FBtr0070067,1937.13,1249.29,1226.99,1533.37,4103.91,2550.72,1225.3,1200.02
FBtr0070068,3408.33,2038.37,3598.02,2510.43,6267.41,5708.2,1983.69,2295.45
FBtr0342962,207.78,103.567,137.357,94.4969,212.767,194.297,93.0932,75.6691
FBtr0344149,4278.87,3558.65,2720.08,2072.35,8893.71,6347.32,2773.46,2573.81
FBtr0070069,1805.68,2942.14,1775.65,3384.27,1919.97,394.073,1046.15,1902.38
FBtr0070070,6.02372,16.0353,12.1225,10.0,8.0,6.02521,15.1348,6.00452
FBtr0070071,75.0181,1961.6,5167.5,2826.07,56.0,51.0,1296.3,3970.2
FBtr0070072,119.32,81.0,73.0,48.0,155.039,85.0,40.0,78.0
FBtr0070073,233.0,212.152,98.01,145.348,258.0,163.0,132.057,181.0
FBtr0070074,2.0,1.0,4.0,1.0,3.0,2.0,4.0,7.0
FBtr0070075,51.0825,29.0,29.0,16.0006,49.0,52.0,33.0,68.0
FBtr0070076,49.6127,36.981,29.2042,41.8394,35.6379,23.4039,28.7519,38.4209
