"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","FBgn0000556",12.76636928,12.66048447,207.5344198,4.46e-16,6.4e-13,24.40830379
"2","FBgn0003884",12.32318142,12.31927155,185.908822,1.07e-15,6.4e-13,24.10619064
"3","FBgn0000559",11.73424383,11.70006977,181.594423,1.28e-15,6.4e-13,24.03361126
"4","FBgn0003887",11.40397391,11.39033596,168.3919775,2.33e-15,6.4e-13,23.78208158
"5","FBgn0020910",10.93984687,10.88274141,220.3228246,2.78e-16,6.4e-13,24.54754603
"6","FBgn0001942",10.87116959,10.78249103,186.9794922,1.02e-15,6.4e-13,24.10610455
"7","FBgn0017545",10.60014927,10.51436925,165.0100824,2.74e-15,6.4e-13,23.69348717
"8","FBgn0014026",10.29938892,10.26757785,187.6307059,9.91e-16,6.4e-13,24.09989866
"9","FBgn0024733",10.25133216,10.18023174,159.8081344,3.53e-15,6.4e-13,23.57045774
"10","FBgn0261592",10.20325002,10.16288976,184.8551403,1.12e-15,6.4e-13,24.05266733
"11","FBgn0011284",10.1555754,10.11640641,176.6093775,1.6e-15,6.4e-13,23.90938703
"12","FBgn0005593",10.14310742,10.10612785,170.1756794,2.15e-15,6.4e-13,23.78731435
"13","FBgn0010488",10.11529111,9.989132726,164.3195938,2.83e-15,6.4e-13,23.66650771
"14","FBgn0039757",10.1023287,10.06639147,174.4604324,1.76e-15,6.4e-13,23.86854749
"15","FBgn0028697",10.09195661,10.03379663,158.3797123,3.79e-15,6.4e-13,23.5340633
"16","FBgn0004907",10.0464442,10.12785059,167.0795435,2.48e-15,6.4e-13,23.72274891
"17","FBgn0020618",10.04618776,10.00651738,190.4017192,8.83e-16,6.4e-13,24.13610709
"18","FBgn0010408",10.03252788,9.997930396,180.567938,1.34e-15,6.4e-13,23.97639007
"19","FBgn0003279",10.03250575,10.02146345,159.8180567,3.53e-15,6.4e-13,23.56571071
"20","FBgn0033663",10.02723122,9.940277446,157.0344826,4.06e-15,6.4e-13,23.5012932
"21","FBgn0003942",10.02170566,9.971691715,155.5377635,4.38e-15,6.4e-13,23.4655686
"22","FBgn0036213",10.01777714,9.967975624,169.7962816,2.19e-15,6.4e-13,23.77691879
"23","FBgn0000370",10.01718308,10.01187002,184.469094,1.13e-15,6.4e-13,24.04159995
"24","FBgn0034967",10.01416701,9.958710707,155.7034755,4.34e-15,6.4e-13,23.46938932
"25","FBgn0004867",10.01102696,10.01047839,184.7355595,1.12e-15,6.4e-13,24.04581178
"26","FBgn0000043",9.968702524,9.820699353,170.7106504,2.09e-15,6.4e-13,23.79380427
"27","FBgn0002622",9.967810861,9.961485252,177.7728323,1.52e-15,6.4e-13,23.92581813
"28","FBgn0029176",9.933507325,9.895244293,178.2472113,1.49e-15,6.4e-13,23.93352236
"29","FBgn0002607",9.930517375,9.903068758,178.5131169,1.47e-15,6.4e-13,23.93816906
"30","FBgn0000253",9.928425213,9.935078029,183.162359,1.2e-15,6.4e-13,24.01792752
"31","FBgn0002590",9.904751089,9.884606245,183.8172414,1.17e-15,6.4e-13,24.02828429
"32","FBgn0039857",9.889857904,9.835478783,181.819078,1.27e-15,6.4e-13,23.99452795
"33","FBgn0010411",9.867279484,9.82552054,165.7652482,2.64e-15,6.4e-13,23.69175524
"34","FBgn0000100",9.840854783,9.833000572,167.2887435,2.46e-15,6.4e-13,23.72273215
"35","FBgn0261599",9.828716612,9.7657345,158.3262839,3.8e-15,6.4e-13,23.52754179
"36","FBgn0261606",9.817522915,9.77082512,172.7338124,1.91e-15,6.4e-13,23.82976653
"37","FBgn0261602",9.796712274,9.798397799,164.6175926,2.79e-15,6.4e-13,23.66621693
"38","FBgn0037874",9.774782209,9.713827224,174.9545939,1.72e-15,6.4e-13,23.8706053
"39","FBgn0034138",9.762857954,9.724424444,168.2914105,2.35e-15,6.4e-13,23.74162385
"40","FBgn0014184",9.715061749,9.696073336,161.9475255,3.18e-15,6.4e-13,23.60714981
"41","FBgn0010265",9.689409315,9.673901785,178.851131,1.45e-15,6.4e-13,23.93928397
"42","FBgn0033699",9.646819153,9.62270942,156.2179188,4.23e-15,6.4e-13,23.4750321
"43","FBgn0010198",9.600390089,9.545187717,157.4115762,3.98e-15,6.4e-13,23.50241173
"44","FBgn0034968",9.58837832,9.556857586,176.3215559,1.62e-15,6.4e-13,23.89223576
"45","FBgn0015756",9.568662062,9.519089782,157.7792697,3.91e-15,6.4e-13,23.5104764
"46","FBgn0266696",9.560381503,9.582581791,163.3748501,2.97e-15,6.4e-13,23.63558777
"47","FBgn0010409",9.559406204,9.514306172,159.5827689,3.57e-15,6.4e-13,23.55174578
"48","FBgn0003941",9.558840752,9.497876953,183.846039,1.16e-15,6.4e-13,24.02189813
"49","FBgn0013325",9.515364986,9.487181423,155.5099009,4.38e-15,6.4e-13,23.45602952
"50","FBgn0266410",9.489862287,9.328788723,161.121625,3.31e-15,6.4e-13,23.58514788
"51","FBgn0034743",9.477193784,9.459203265,165.9312429,2.62e-15,6.4e-13,23.68831654
"52","FBgn0038834",9.459212533,9.43491803,162.1860581,3.14e-15,6.4e-13,23.60810239
"53","FBgn0260441",9.448043771,9.420404633,170.4333751,2.12e-15,6.4e-13,23.77869379
"54","FBgn0005533",9.400808244,9.377116871,171.4127783,2.03e-15,6.4e-13,23.79683725
"55","FBgn0250753",9.39900882,9.24522374,173.7138668,1.82e-15,6.4e-13,23.84062883
