"","G3R3","G1R2","G1R3","G1R4","G3R1","G3R2","G1R1","G3R4"
"FBgn0000008",3306.018,4440.787,3672.435,3148.0958,3216.185,3258.618,4953.504,3212.262
"FBgn0000014",2338.496,2589.397,2266.531,1972.069,2343.359,2802.121,2467.845,2763.306
"FBgn0000015",863.17003,660.3147,491.4737,570.0181,993.4198,817.2268,592.8764,724.3415
"FBgn0000017",6556.753973,7962.6219,6719.6631,5516.1048,6377.989,5773.6827,7022.685344,5645.5034
"FBgn0000018",317,368.16,278.032,321.533,352,216,258.004,299.002
"FBgn0000022",119.32,81,73,48,155.039,85,40,78
"FBgn0000024",1925.0403,2915.375,2328.265,2717.37133,2193.6,2231.9992,2473.4359,2539.712
"FBgn0000028",183.0015,262.3623,172.292892,262.07313,208.3289357,106.11857,163.1389,205.13860369135
"FBgn0000032",1108.5333,1099.4779,909.415,957.1188,1103.4957,1211.1705,834.828,1288.271
"FBgn0000036",630.64,1182.21,846.103,1046.92,891.707,686.169,942.755,648.303
"FBgn0000037",272.9996,579.832,400.017,523.177,409.262,339,371.191,297.9997
"FBgn0000038",746.7038,1879.985,1341.7649,1943.695,1369.6732,819.8286,1274.2289,833.0156
"FBgn0000039",377.1482,683.571,439.064,586.001,533.138,352.457,478.0003,341.213
"FBgn0000042",118733.012000011,103271.64891244,84257.8200030766,79241.8170091246,113827.934902662,137475.85800739,115100.087802344,110107.7117
"FBgn0000043",23535.3,25210.1,20068,21938.8,25652.5,28895.4,21038.9,28719
"FBgn0000044",10605.8,19981.9,15548.1,96458.7,9448.66,8654.48,16013.9,8452.92
"FBgn0000045",3963.2,25766,16564.83,57013.9,3527.57,5525.85,12061.68,5907.82
"FBgn0000046",5865.8284,22863.605,16699.286,68270.082,9842.395,5447.1838,12582.755,9000.7624
"FBgn0000047",6595.27,48685.1,30065,82072.8,22028.1,13614,13215,14953.8
"FBgn0000052",4093.752,1938.694,2021.846,1879.488,1558.3569,4467.127,2211.947,2074.095
"FBgn0000053",2701.0733,1222.7741,1260.428,1415.218,1415.2391,2555.4338,1091.0063,4289.371
"FBgn0000054",1565.446,1900.747,1519.472,1438.95,1895.262,2117.263,1722.182,1904.03
"FBgn0000055",1307.95854,2453.63414,1948.33518,5813.119,768.10737,2028.22124,1732.18596,1060.79709
"FBgn0000056",19.34024,43.37084,34.06918,36.929,17.90942,27.75431,24.93766,10.19539
"FBgn0000057",1206.547,1527.144,1029.97812,1408.68945,1303.659,827.896,913.48763,1198.161
"FBgn0000061",565.403,575.327,443.164,430,467.79,643.39,527.693,406.181
"FBgn0000063",352.5667,353.011,221.1921,279.32424,256.2302,210.3572,195.29,256.2987
"FBgn0000064",9166.4679,25046.2183,16022.3279,32028.3272,13033.8336,11973.8961,13119.4395,13471.251
"FBgn0000071",3364.4631,3539.9865,3710.608,2803.382,4084.3359,5154.5889,3728.8316,6236.959
"FBgn0000075",354.75325,330.6278,277.4981,126.0018,748.22145,1829.92792,468.44766,2001.1109
"FBgn0000077",196.2553,182.7385,177.4359,213.0766,223.6816,204.4492,173.1988,188.9241
"FBgn0000078",12.7986,12.8947,7.37748,9.05942,7.21113,5.55319,15.8982,8.59154
"FBgn0000079",9.20141,24.1053,8.62252,10.9406,5.78887,8.44681,3.1018295,4.40846
"FBgn0000083",8325.851,8275.611,8149.436,7843.555,6924.614,8770.6354,10828.33,9606.7307
"FBgn0000084",950.328,938.094,776.673,1276.307,1114.711,1407.398,764.828,1384.768
"FBgn0000092",137.599,31,160.308,43,45.5156,53.2649,30.3502,26
